key,description,attached to,status,suggested key
humanities.literature.world-literature.new-zealand-literature,Study of literature from New Zealand.,,valid,
humanities.literature.world-literature.scottish-literature,Study of literature from Scotland.,,valid,
humanities.literature.world-literature.south-african-literature,Study of literature from South Africa.,,valid,
humanities.literature.world-literature.welsh-literature,Study of literature from Wales.,,valid,
humanities.linguistics,Study of language structure use and meaning.,,valid,
humanities.linguistics.languages,Study of human languages and language families.,,valid,
humanities.linguistics.languages.business-english,Study of English usage in business and professional contexts.,,valid,
humanities.linguistics.languages.classical-language,Study of classical languages and their literature.,History|1,valid,
humanities.linguistics.languages.modern-language,Study of modern languages and their usage.,,valid,
humanities.linguistics.languages.standard-english,Study of standardized forms of English language usage.,,valid,
humanities.linguistics.languages.world-englishes,Study of global varieties of English and their contexts.,,valid,
humanities.linguistics.applied-linguistics,Study of applying linguistic knowledge to real world problems.,,valid,
humanities.linguistics.composition-studies,Study of writing processes and composition pedagogy.,Literature|1,valid,
humanities.linguistics.computational-linguistics,Study of language using computational methods.,Computer science|1,valid,
humanities.linguistics.discourse-analysis,Study of language use in social and cultural contexts.,Sociology|1,valid,
humanities.linguistics.etymology,Study of the origins and historical development of words.,,valid,
humanities.linguistics.grammar,Study of rules and structures of language.,,valid,
humanities.linguistics.grammatology,Study of writing systems and the science of writing.,,valid,
humanities.linguistics.historical-linguistics,Study of language change over time.,History|1,valid,
humanities.linguistics.history-of-linguistics,Study of the historical development of linguistics as a field.,History|1,valid,
humanities.linguistics.interlinguistics,Study of international auxiliary languages and language planning.,,valid,
humanities.linguistics.lexicology,Study of words and vocabulary structure.,Linguistics|0,valid,
humanities.linguistics.linguistic-typology,Study of structural patterns across languages.,,valid,
humanities.linguistics.morphology,Study of the structure and formation of words.,,valid,
humanities.linguistics.natural-language-processing,Study of computational processing of human language.,Computer science|1,valid,
humanities.linguistics.philosophy-of-language,Study of meaning reference and language in philosophy.,Philosophy|1;Linguistics|1,valid,
humanities.linguistics.philosophy-of-linguistics,Study of philosophical foundations of linguistics.,Philosophy|1,valid,
humanities.linguistics.linguistic-philosophy,Study of philosophical analysis of language.,Philosophy|1,valid,
humanities.linguistics.philology,Study of historical texts and language through manuscripts.,History|1,valid,
humanities.linguistics.phonetics,Study of speech sounds and their physical properties.,,valid,
humanities.linguistics.phonology,Study of sound systems and patterns in language.,,valid,
humanities.linguistics.pragmatics,Study of language meaning in context and use.,,valid,
humanities.linguistics.psycholinguistics,Study of psychological processes involved in language.,Psychology|1,valid,
humanities.linguistics.rhetoric,Study of persuasive language and communication.,Communication|1,valid,
humanities.linguistics.semantics,Study of meaning in language and symbols.,,valid,
humanities.linguistics.semiotics,Study of signs symbols and meaning making.,,valid,
humanities.linguistics.sociolinguistics,Study of language variation and social context.,Sociology|1;Linguistics|1,valid,
humanities.linguistics.syntax,Study of sentence structure and grammatical rules.,,valid,
humanities.linguistics.terminology-science,Study of specialized vocabularies and term systems.,,valid,
humanities.linguistics.usage,Study of language usage patterns and norms.,,valid,
humanities.linguistics.word-usage,Study of how words are used in context and style.,,valid,
social-science,Study of society and social relationships.,,valid,
social-science.communication,Study of human communication processes and media.,,valid,
social-science.communication.journalism,Study of news gathering reporting and ethics.,Communication|0,valid,
social-science.communication.journalism.broadcast-journalism,Study of journalism for radio and television.,Communication|0,valid,
social-science.communication.journalism.digital-journalism,Study of journalism in digital and online media.,Communication|0,valid,
social-science.communication.journalism.literary-journalism,"Study of narrative, long-form reporting that combines journalistic research with literary techniques.",,valid,
social-science.communication.journalism.new-media-journalism,Study of journalism using new and emerging media platforms.,Communication|0,valid,
social-science.communication.journalism.print-journalism,Study of journalism for newspapers and print media.,Communication|0,valid,
social-science.communication.journalism.sports-journalism-sportscasting,Study of reporting and commentary on sports.,Communication|0,valid,
social-science.communication.media-studies-mass-media,Study of mass media and their social effects.,Communication|0,valid,
social-science.communication.media-studies-mass-media.newspaper,Study of newspapers as media institutions and formats.,Communication|0,valid,
social-science.communication.media-studies-mass-media.magazine,Study of magazines as media formats and industries.,Communication|0,valid,
social-science.communication.media-studies-mass-media.radio,Study of radio as a mass medium and industry.,Communication|0,valid,
social-science.communication.media-studies-mass-media.film,"Study of film as a mass communication medium, including production, distribution, and audiences.",,valid,
social-science.communication.media-studies-mass-media.game-studies,Study of games as media forms and cultural practices.,Technology|1,valid,
social-science.communication.media-studies-mass-media.fan-studies,Study of fan communities and participatory culture.,Sociology|1,valid,
social-science.communication.narratology,Study of narrative structure and storytelling across media.,Literature|1,valid,
social-science.communication.narratology.internet,Study of internet narratives and digital storytelling.,Technology|1,valid,
social-science.communication.communication-studies,Study of communication processes theories and effects.,,valid,
social-science.communication.communication-studies.advertising,Study of persuasive communication in advertising.,Economics|1,valid,
social-science.communication.communication-studies.animal-communication,Study of communication systems in animals.,Biology|1,valid,
social-science.communication.communication-studies.communication-design,Study of designing messages and visual communication.,Communication|0,valid,
social-science.communication.communication-studies.conspiracy-theory,Study of conspiracy narratives and belief formation.,Psychology|1,valid,
social-science.communication.communication-studies.digital-media,Study of digital media platforms and communication.,Technology|1,valid,
social-science.communication.communication-studies.electronic-media,Study of electronic media channels and systems.,Technology|1,valid,
social-science.communication.communication-studies.environmental-communication,Study of communicating environmental issues and risks.,Earth science|1,valid,
social-science.communication.communication-studies.hoax,Study of hoaxes and misinformation in communication.,Psychology|1,valid,
social-science.communication.communication-studies.intercultural-communication,Study of communication across cultures and social groups.,Cultural studies|1,valid,
social-science.communication.communication-studies.mass-communication,Study of communication to large audiences via mass media.,Communication|0,valid,
social-science.communication.communication-studies.nonverbal-communication,Study of gestures facial expressions and body language.,Psychology|1,valid,
social-science.communication.communication-studies.organizational-communication,Study of communication within organizations and institutions.,Sociology|1,valid,
social-science.communication.communication-studies.popular-culture-studies,Study of popular culture and media consumption.,Cultural studies|1,valid,
social-science.communication.communication-studies.propaganda,Study of persuasive messaging for ideological aims.,Political science|1,valid,
social-science.communication.communication-studies.public-relations,Study of managing public perception and organizational communication.,Communication|0,valid,
social-science.communication.communication-studies.speech-communication,Study of spoken communication and public speaking.,Communication|0,valid,
social-science.communication.communication-studies.technical-writing,Study of writing technical and instructional materials.,Communication|0,valid,
social-science.communication.communication-studies.translation,Study of translating meaning across languages.,Linguistics|1,valid,
social-science.geography,Study of places landscapes and spatial relationships on Earth.,,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science,Study of physical processes and features of the Earth.,Earth science|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.atmology,Study of atmospheric conditions and processes.,Earth science|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.biogeography,Study of the distribution of life across geographic space.,Biology|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.climatology,Study of climates and long term atmospheric patterns.,Earth science|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.climatology.palaeoclimatology,Study of past climates using geological records.,Earth science|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.coastal-geography,Study of coastal landscapes and marine interactions.,Earth science|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.environmental-geography,Study of interactions between people and environments.,Earth science|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.geographic-information-systems,Study of spatial data systems and geographic analysis.,Information science|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.geomatics,Study of measuring and analyzing spatial data.,Mathematics|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.geomorphology,Study of landforms and surface processes.,Earth science|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.hydrology-hydrography,Study of water distribution movement and properties.,Earth science|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.hydrology-hydrography.biogeochemistry,Study of chemical cycles of elements in biological and geological systems.,Chemistry|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.lithology,Study of the physical characteristics of rocks.,Earth science|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.meteorology,Study of weather processes and atmospheric dynamics.,Earth science|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.mineralogy,Study of minerals their properties and formation.,Earth science|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.oceanography,Study of oceans and marine processes.,Earth science|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.palaeogeography,Study of past geographies and ancient landscapes.,Earth science|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.palaeontology,Study of ancient life through fossils.,Biology|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.petrology,Study of rocks and their origin.,Earth science|1,valid,
social-science.geography.physical-geography-is-also-listed-in-earth-science.soil-geography,Study of soil distribution properties and formation.,Earth science|1,valid,
social-science.geography.human-geography,Study of human activities and their spatial patterns.,Sociology|1,valid,
social-science.geography.human-geography.behavioural-geography,Study of spatial behavior and decision making.,Psychology|1,valid,
social-science.geography.human-geography.cognitive-geography,Study of how people perceive and mentally represent space.,Psychology|1,valid,
social-science.geography.human-geography.cultural-geography,Study of cultural practices and their spatial expressions.,Cultural studies|1,valid,
social-science.geography.human-geography.cultural-geography.feminist-geography,Study of geography through feminist perspectives.,Cultural studies|1,valid,
social-science.geography.human-geography.development-geography,Study of spatial aspects of development and inequality.,Economics|1,valid,
social-science.geography.human-geography.health-geography,Study of health outcomes and services across places.,Psychology|1,valid,
social-science.geography.human-geography.historical-geography,Study of past geographies and spatial change over time.,History|1,valid,
social-science.geography.human-geography.language-geography,Study of language distribution and spatial variation.,Linguistics|1,valid,
social-science.geography.human-geography.mathematical-geography,Study of geographic phenomena using mathematical models.,Mathematics|1,valid,
social-science.geography.human-geography.marketing-geography,Study of spatial patterns in markets and consumer behavior.,Economics|1,valid,
social-science.geography.human-geography.military-geography,Study of geographic factors in military strategy.,History|1,valid,
social-science.geography.human-geography.political-geography-geopolitics,Study of political power and territory in geographic context.,Political science|1,valid,
social-science.geography.human-geography.population-geography,Study of population distribution and migration patterns.,Sociology|1,valid,
social-science.geography.human-geography.religion-geography,Study of religious practices and their spatial distribution.,Religious studies|1,valid,
social-science.geography.human-geography.social-geography,Study of social relations and communities in space.,Sociology|1,valid,
social-science.geography.human-geography.children-s-geographies,Study of children's spatial experiences and environments.,Psychology|1,valid,
social-science.geography.human-geography.strategic-geography,Study of spatial factors in strategic planning and security.,Political science|1,valid,
social-science.geography.human-geography.time-geography,Study of spatial behavior through time and scheduling.,Mathematics|1,valid,
social-science.geography.human-geography.tourism-geography,Study of tourism flows and their spatial impacts.,Economics|1,valid,
social-science.geography.human-geography.transport-geography,Study of transportation systems and spatial connectivity.,Economics|1,valid,
social-science.geography.human-geography.urban-geography,Study of cities and urban spatial structures.,Sociology|1,valid,
social-science.geography.integrated-geography,Study of geography integrating physical and human systems.,,valid,
social-science.geography.cartography,Study of mapmaking and spatial representation.,Mathematics|1,valid,
social-science.geography.cartography.celestial-cartography,Study of mapping stars and celestial objects.,Astronomy|1,valid,
social-science.geography.cartography.planetary-cartography,Study of mapping planetary surfaces.,Astronomy|1,valid,
social-science.geography.cartography.topography,Study of mapping landforms and terrain.,Mathematics|1,valid,
social-science.geography.navigation,Study of methods for determining position and route.,Mathematics|1,valid,
social-science.geography.regional-geography,Study of regions and their unique geographic characteristics.,,valid,
social-science.political-science,Study of political systems institutions and behavior.,,valid,
social-science.political-science.american-politics,Study of politics and government in the United States.,,valid,
social-science.political-science.canadian-politics,Study of politics and government in Canada.,,valid,
social-science.political-science.civics,Study of civic rights duties and participation in governance.,,valid,
social-science.political-science.health-politics,Study of political aspects of health policy and governance.,Psychology|1,valid,
social-science.political-science.biopolitics,Study of politics of life health and population.,Biology|1,valid,
social-science.political-science.comparative-politics,Study of political systems through cross national comparison.,,valid,
social-science.political-science.geopolitics-political-geography,Study of power politics in relation to geography.,Geography|1,valid,
social-science.political-science.indian-politics,Study of politics and government in India.,,valid,
social-science.political-science.international-relations,Study of relations between states and global actors.,Political science|0,valid,
social-science.political-science.international-organizations,Study of international organizations and global governance.,Political science|0,valid,
social-science.political-science.nationalism-studies,Study of nationalism ideologies and movements.,Political science|0,valid,
social-science.political-science.peace-and-conflict-studies,Study of conflict causes peacebuilding and security.,Political science|0,valid,
social-science.political-science.political-behavior,Study of political attitudes voting and participation.,Psychology|1,valid,
social-science.political-science.political-culture,Study of shared political values and norms.,Political science|0,valid,
social-science.political-science.political-philosophy,Study of philosophical foundations of politics.,Philosophy|1,valid,
social-science.political-science.public-administration,Study of managing public sector organizations.,Political science|0,valid,
social-science.political-science.public-administration.nonprofit-administration,Study of management of nonprofit organizations.,Political science|0,valid,
social-science.political-science.public-administration.non-governmental-organization-ngo-administration,Study of administration of nongovernmental organizations.,Political science|0,valid,
social-science.political-science.public-administration.civil-service,Study of public service systems and bureaucracy.,Political science|0,valid,
social-science.political-science.public-administration.disaster-research,Study of disasters and policy responses.,Earth science|1,valid,
social-science.political-science.public-administration.disaster-response,Study of organizational response to disasters.,Earth science|1,valid,
social-science.political-science.public-administration.emergency-management,Study of preparedness and management of emergencies.,Earth science|1,valid,
social-science.political-science.public-administration.emergency-services,Study of public safety and emergency service organizations.,Political science|0,valid,
social-science.political-science.public-administration.fire-safety-structural-fire-protection,Study of fire safety policy and structural fire protection.,Physics|1,valid,
social-science.political-science.public-administration.fire-ecology-wildland-fire-management,Study of wildfire management and fire ecology policy.,Earth science|1,valid,
social-science.political-science.public-administration.governmental-affairs,Study of government relations and public affairs.,Political science|0,valid,
social-science.political-science.public-administration.international-affairs,Study of public administration in international contexts.,Political science|0,valid,
social-science.political-science.public-administration.policy-studies,Study of policy work within public administration.,Political science|0,valid,
social-science.political-science.public-administration.policy-studies.policy-analysis,Study of evaluating policy options and outcomes.,Political science|0,valid,
social-science.political-science.public-administration.public-policy-doctrine,Study of principles guiding public policy practice.,Political science|0,valid,
social-science.political-science.public-administration.public-policy-school,Study of public policy education and professional training.,Political science|0,valid,
social-science.political-science.public-administration.regulation,Study of regulatory frameworks and compliance.,Political science|0,valid,
social-science.political-science.public-administration.public-safety,Study of policies and systems that protect public safety.,Political science|0,valid,
social-science.political-science.public-administration.public-service,Study of public service roles and governance ethics.,Political science|0,valid,
social-science.political-science.public-law,Study of laws governing state and public institutions.,Law|1,valid,
social-science.political-science.public-policy,Study of policy making and governmental decisions.,Political science|0,valid,
social-science.political-science.psephology,Study of elections and voting behavior.,Political science|0,valid,
social-science.political-science.singapore-politics,Study of politics and government in Singapore.,Political science|0,valid,
social-science.political-science.military-sciences,Study of military organization strategy and operations.,Political science|0,valid,
social-science.political-science.military-sciences.amphibious-warfare,Study of military operations combining land and sea forces.,Political science|0,valid,
social-science.political-science.military-sciences.artillery,Study of artillery weapons systems and tactics.,Physics|1,valid,
social-science.political-science.military-sciences.battlespace,Study of operational environments in warfare.,Political science|0,valid,
social-science.political-science.military-sciences.battlespace.air,Study of air domain operations and strategy.,Political science|0,valid,
social-science.political-science.military-sciences.battlespace.information,Study of information domain operations and warfare.,Information science|1,valid,
social-science.political-science.military-sciences.battlespace.land,Study of land domain operations and strategy.,Political science|0,valid,
social-science.political-science.military-sciences.battlespace.sea,Study of naval domain operations and strategy.,Political science|0,valid,
social-science.political-science.military-sciences.battlespace.space,Study of space domain operations and strategy.,Astronomy|1,valid,
social-science.political-science.military-sciences.campaigning,Study of planning and executing military campaigns.,Political science|0,valid,
social-science.political-science.military-sciences.military-engineering,Study of engineering applications in military contexts.,Technology|1,valid,
social-science.political-science.military-sciences.doctrine,Study of military doctrines and principles of warfare.,Political science|0,valid,
social-science.political-science.military-sciences.espionage,Study of intelligence gathering and covert operations.,Political science|0,valid,
social-science.political-science.military-sciences.grand-strategy,Study of high level national and military strategy.,Political science|0,valid,
social-science.political-science.military-sciences.grand-strategy.containment,Study of containment as a strategic doctrine.,Political science|0,valid,
social-science.political-science.military-sciences.grand-strategy.limited-war,Study of limited war strategies and constraints.,Political science|0,valid,
social-science.political-science.military-sciences.grand-strategy.military-science,Study of systematic principles underlying military practice.,Political science|0,valid,
social-science.political-science.military-sciences.grand-strategy.philosophy-of-war,Study of philosophical questions about war and conflict.,Philosophy|1,valid,
social-science.political-science.military-sciences.grand-strategy.strategic-studies,Study of strategic planning and security policy.,Political science|0,valid,
social-science.political-science.military-sciences.grand-strategy.chess,Study of chess as a strategic model and training tool.,Mathematics|1,valid,
social-science.political-science.military-sciences.grand-strategy.total-war,Study of total war as a strategic doctrine.,Political science|0,valid,
social-science.political-science.military-sciences.grand-strategy.war,Study of war as a political and social phenomenon.,Political science|0,valid,
social-science.political-science.military-sciences.leadership,Study of leadership in military contexts.,Psychology|1,valid,
social-science.political-science.military-sciences.logistics,Study of planning movement and sustainment of forces.,Economics|1,valid,
social-science.political-science.military-sciences.logistics.materiel,Study of military equipment and material management.,Economics|1,valid,
social-science.political-science.military-sciences.logistics.supply-chain-management,Study of supply chains supporting military operations.,Economics|1,valid,
social-science.political-science.military-sciences.military-operation,Study of planning and executing military operations.,Political science|0,valid,
social-science.political-science.military-sciences.military-history,Study of military events and warfare over time.,History|1,valid,
social-science.political-science.military-sciences.military-history.prehistoric,Study of warfare and conflict in prehistoric periods.,History|1,valid,
social-science.political-science.military-sciences.military-history.ancient,Study of warfare and conflict in ancient periods.,History|1,valid,
social-science.political-science.military-sciences.military-history.medieval,Study of warfare and conflict in medieval periods.,History|1,valid,
social-science.political-science.military-sciences.military-history.early-modern,Study of warfare and conflict in early modern periods.,History|1,valid,
social-science.political-science.military-sciences.military-history.industrial,Study of warfare and conflict in the industrial era.,History|1,valid,
social-science.political-science.military-sciences.military-history.modern,Study of warfare and conflict in the modern era.,History|1,valid,
social-science.political-science.military-sciences.military-history.fourth-generation-warfare,Study of decentralized and asymmetric warfare in modern conflicts.,Political science|0,valid,
social-science.political-science.military-sciences.military-intelligence,Study of intelligence gathering and analysis for military use.,Political science|0,valid,
social-science.political-science.military-sciences.military-law,Study of laws governing armed forces and conflict.,Law|1,valid,
social-science.political-science.military-sciences.military-medicine,Study of medical care and health in military contexts.,Biology|1,valid,
social-science.political-science.military-sciences.naval-science,Study of naval operations and maritime military strategy.,Political science|0,valid,
social-science.political-science.military-sciences.naval-science.naval-engineering,Study of engineering for naval vessels and systems.,Technology|1,valid,
social-science.political-science.military-sciences.naval-science.naval-architecture,Study of design and construction of ships.,Technology|1,valid,
social-science.political-science.military-sciences.organization,Study of military organizational structures.,Political science|0,valid,
social-science.political-science.military-sciences.organization.command-and-control,Study of command systems and decision structures.,Political science|0,valid,
social-science.political-science.military-sciences.organization.education-and-training,Study of military education and training systems.,Psychology|1,valid,
social-science.political-science.military-sciences.organization.engineers,Study of roles and management of military engineers.,Technology|1,valid,
social-science.political-science.military-sciences.organization.intelligence,Study of organizational intelligence functions.,Political science|0,valid,
social-science.political-science.military-sciences.organization.ranks,Study of military rank structures and hierarchy.,Political science|0,valid,
social-science.political-science.military-sciences.organization.staff,Study of roles and functions of military staff.,Political science|0,valid,
social-science.political-science.military-sciences.organization.technology-and-equipment,Study of military technology equipment and procurement.,Technology|1,valid,
social-science.political-science.military-sciences.organization.military-exercises,Study of training exercises and readiness drills.,Political science|0,valid,
social-science.political-science.military-sciences.organization.military-simulation,Study of simulations used for military training and planning.,Technology|1,valid,
social-science.political-science.military-sciences.organization.military-sports,Study of sports and physical training in military contexts.,Psychology|1,valid,
social-science.political-science.military-sciences.strategy,Study of strategic planning in military operations.,Political science|0;Economics|1,valid,
social-science.political-science.military-sciences.strategy.attrition,Study of attrition strategies aimed at wearing down an opponent.,Political science|0,valid,
social-science.political-science.military-sciences.strategy.deception,Study of deception tactics and strategic misinformation.,Political science|0,valid,
social-science.political-science.military-sciences.strategy.defensive,Study of defensive strategies and force protection.,Political science|0,valid,
social-science.political-science.military-sciences.strategy.offensive,Study of offensive strategies and attack operations.,Political science|0,valid,
social-science.political-science.military-sciences.strategy.counter-offensive,Study of counter-offensive strategy and response operations.,Political science|0,valid,
social-science.political-science.military-sciences.strategy.maneuver,Study of maneuver strategies and movement in warfare.,Political science|0,valid,
social-science.political-science.military-sciences.strategy.goal,Study of strategic goal setting and objectives in conflict.,Political science|0,valid,
social-science.political-science.military-sciences.strategy.naval,Study of naval strategy and sea power doctrine.,Political science|0,valid,
social-science.political-science.military-sciences.tactics,Study of tactical actions and battlefield decision making.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.aerial,Study of aerial tactics and air combat operations.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.battle,Study of battle tactics and engagement planning.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.cavalry,Study of cavalry tactics and mounted warfare.,History|1,valid,
social-science.political-science.military-sciences.tactics.charge,Study of charge tactics and direct assault maneuvers.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.counter-attack,Study of counter-attack tactics in response to assaults.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.counter-insurgency,Study of tactics for countering insurgencies.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.counter-intelligence,Study of tactics to counter espionage and intelligence threats.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.counter-terrorism,Study of tactics for preventing and responding to terrorism.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.foxhole,Study of trench and foxhole defensive tactics.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.endemic-warfare,Study of persistent localized warfare and conflict patterns.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.guerrilla-warfare,Study of guerrilla tactics and irregular combat methods.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.infiltration,Study of infiltration tactics for covert entry and movement.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.irregular-warfare,Study of irregular warfare tactics and nonstandard conflict.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.morale,Study of morale and its impact on combat effectiveness.,Psychology|1,valid,
social-science.political-science.military-sciences.tactics.naval-tactics,Study of tactical operations in naval combat.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.siege,Study of siege tactics and prolonged assault operations.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.surgical-strike,Study of precision strikes and targeted operations.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.tactical-objective,Study of tactical objectives and mission goals.,Political science|0,valid,
social-science.political-science.military-sciences.tactics.trench-warfare,Study of trench warfare tactics and defensive systems.,History|1,valid,
social-science.political-science.military-sciences.military-weapons,Study of categories and roles of military weapons.,Political science|0,valid,
social-science.political-science.military-sciences.military-weapons.armor,Study of armored vehicles and protection systems.,Technology|1,valid,
social-science.political-science.military-sciences.military-weapons.biological,Study of biological weapons and their implications.,Biology|1,valid,
social-science.political-science.military-sciences.military-weapons.cavalry,"Study of cavalry forces, their organization, tactics, and historical role in warfare.",,valid,
social-science.political-science.military-sciences.military-weapons.conventional,Study of conventional weapons and standard armaments.,Technology|1,valid,
social-science.political-science.military-sciences.military-weapons.chemical,Study of chemical weapons and their effects.,Chemistry|1,valid,
social-science.political-science.military-sciences.military-weapons.cyber,Study of cyber weapons and digital attack tools.,Computer science|1,valid,
social-science.political-science.military-sciences.military-weapons.economic,Study of economic weapons and coercive financial measures.,Economics|1,valid,
social-science.political-science.military-sciences.military-weapons.electronic,Study of electronic weapons and electromagnetic systems.,Physics|1,valid,
social-science.political-science.military-sciences.military-weapons.infantry,Study of infantry weapons and ground combat arms.,Technology|1,valid,
social-science.political-science.military-sciences.military-weapons.nuclear,Study of nuclear weapons and deterrence effects.,Physics|1,valid,
social-science.political-science.military-sciences.military-weapons.psychological,Study of psychological weapons and influence operations.,Psychology|1,valid,
social-science.political-science.military-sciences.military-weapons.unconventional,Study of unconventional weapons and atypical armaments.,Technology|1,valid,
social-science.political-science.military-sciences.other-military,Study of other military concepts and practices.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.arms-control,Study of treaties and policies limiting weapons.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.arms-race,Study of competitive military buildup between states.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.assassination,Study of targeted killing as a political tool.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.asymmetric-warfare,Study of conflicts between unequal forces and tactics.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.civil-defense,Study of protecting civilians during conflict and disasters.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.clandestine-operation,Study of secret military operations and planning.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.collateral-damage,Study of unintended harm in military operations.,Ethics|1,valid,
social-science.political-science.military-sciences.other-military.cold-war-general-term,Study of the Cold War as a geopolitical conflict.,History|1,valid,
social-science.political-science.military-sciences.other-military.combat,Study of combat engagement and battlefield action.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.covert-operation,Study of covert military operations and tactics.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.cyberwarfare,Study of cyber conflict and digital warfare.,Computer science|1,valid,
social-science.political-science.military-sciences.other-military.defense-industry,Study of defense production industries and procurement.,Economics|1,valid,
social-science.political-science.military-sciences.other-military.disarmament,Study of arms reduction and disarmament policy.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.intelligence-agency,Study of intelligence agencies and their roles.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.laws-of-war,Study of legal rules governing warfare.,Law|1,valid,
social-science.political-science.military-sciences.other-military.mercenary,Study of mercenary forces and private combatants.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.military-campaign,Study of military campaigns and operational planning.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.mock-combat,Study of simulated combat and training practices.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.network-centric-warfare,Study of networked warfare concepts and systems.,Information science|1,valid,
social-science.political-science.military-sciences.other-military.paramilitary,Study of paramilitary organizations and roles.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.principles-of-war,Study of general principles guiding warfare.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.private-defense-agency,Study of private defense agencies and security firms.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.private-military-company,Study of private military companies and contracting.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.proxy-war,Study of proxy conflicts between competing powers.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.religious-war,Study of wars driven by religious motivations.,Religious studies|1,valid,
social-science.political-science.military-sciences.other-military.security,Study of security policy and threat management.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.special-forces,Study of special forces roles and operations.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.special-operations,Study of special operations planning and execution.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.theater-warfare,Study of warfare within a defined theater of operations.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.theft,Study of theft as an offense in military and conflict contexts.,Law|1,valid,
social-science.political-science.military-sciences.other-military.undercover,Study of undercover operations and covert identities.,Political science|0,valid,
social-science.political-science.military-sciences.other-military.war-crimes,Study of war crimes and their legal consequences.,Law|1,valid,
social-science.political-science.military-sciences.other-military.warrior,Study of warrior roles and martial identities.,History|1,valid,
social-science.political-science.public-policy.agricultural-policy,Study of policies governing agriculture and food systems.,Economics|1,valid,
social-science.political-science.public-policy.commercial-policy,Study of policies regulating commerce and trade.,Economics|1,valid,
social-science.political-science.public-policy.cultural-policy,Study of policies supporting culture arts and heritage.,Cultural studies|1,valid,
social-science.political-science.public-policy.domestic-policy,Study of internal policies affecting domestic affairs.,Political science|0,valid,
social-science.political-science.public-policy.drug-policy,Study of policies regulating drugs and substances.,Law|1,valid,
social-science.political-science.public-policy.drug-policy.drug-policy-reform,Study of reforms to drug laws and policy approaches.,Law|1,valid,
social-science.political-science.public-policy.economic-policy,Study of policies guiding economic management.,Economics|1,valid,
social-science.political-science.public-policy.economic-policy.fiscal-policy,Study of government taxation and spending policy.,Economics|1,valid,
