key,name,description,attached to,layer,type,url
social-science.communication.communication-studies.speech-communication,Speech communication,Study of spoken communication and public speaking.,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Speech
social-science.communication.communication-studies.technical-writing,Technical writing,Study of writing technical and instructional materials.,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Technical_writing
social-science.communication.communication-studies.translation,Translation,Study of translating meaning across languages.,Communication studies|0;Linguistics|1,3,S,https://en.wikipedia.org/wiki/Translation
social-science.geography,Geography,Study of places landscapes and spatial relationships on Earth.,,1,S0,https://en.wikipedia.org/wiki/Outline_of_geography
social-science.geography.physical-geography-is-also-listed-in-earth-science,Physical geography (is also listed in Earth Science),Study of physical processes and features of the Earth.,Geography|0;Earth science|1,2,S,https://en.wikipedia.org/wiki/Physical_geography
social-science.geography.physical-geography-is-also-listed-in-earth-science.atmology,Atmology,Study of atmospheric conditions and processes.,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Water_vapour#In_Earth's_atmosphere
social-science.geography.physical-geography-is-also-listed-in-earth-science.biogeography,Biogeography,Study of the distribution of life across geographic space.,Physical geography (is also listed in Earth Science)|0;Biology|1,3,S,https://en.wikipedia.org/wiki/Biogeography
social-science.geography.physical-geography-is-also-listed-in-earth-science.climatology,Climatology,Study of climates and long term atmospheric patterns.,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Climatology
social-science.geography.physical-geography-is-also-listed-in-earth-science.climatology.palaeoclimatology,Palaeoclimatology,Study of past climates using geological records.,Climatology|0,4,S,https://en.wikipedia.org/wiki/Palaeoclimatology
social-science.geography.physical-geography-is-also-listed-in-earth-science.coastal-geography,Coastal geography,Study of coastal landscapes and marine interactions.,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Coastal_geography
social-science.geography.physical-geography-is-also-listed-in-earth-science.environmental-geography,Environmental geography,Study of interactions between people and environments.,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Environmental_geography
social-science.geography.physical-geography-is-also-listed-in-earth-science.geographic-information-systems,Geographic information systems,Study of spatial data systems and geographic analysis.,Physical geography (is also listed in Earth Science)|0;Information science|1,3,S,https://en.wikipedia.org/wiki/Geographic_information_system
social-science.geography.physical-geography-is-also-listed-in-earth-science.geomatics,Geomatics,Study of measuring and analyzing spatial data.,Physical geography (is also listed in Earth Science)|0;Mathematics|1,3,S,https://en.wikipedia.org/wiki/Geomatics
social-science.geography.physical-geography-is-also-listed-in-earth-science.geomorphology,Geomorphology,Study of landforms and surface processes.,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Geomorphology
social-science.geography.physical-geography-is-also-listed-in-earth-science.hydrology-hydrography,Hydrology/Hydrography,Study of water distribution movement and properties.,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Hydrology
social-science.geography.physical-geography-is-also-listed-in-earth-science.hydrology-hydrography.biogeochemistry,Biogeochemistry,Study of chemical cycles of elements in biological and geological systems.,Hydrology/Hydrography|0;Chemistry|1,4,S,https://en.wikipedia.org/wiki/Biogeochemistry
social-science.geography.physical-geography-is-also-listed-in-earth-science.lithology,Lithology,Study of the physical characteristics of rocks.,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Lithology
social-science.geography.physical-geography-is-also-listed-in-earth-science.meteorology,Meteorology,Study of weather processes and atmospheric dynamics.,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Meteorology
social-science.geography.physical-geography-is-also-listed-in-earth-science.mineralogy,Mineralogy,Study of minerals their properties and formation.,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Mineralogy
social-science.geography.physical-geography-is-also-listed-in-earth-science.oceanography,Oceanography,Study of oceans and marine processes.,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Oceanography
social-science.geography.physical-geography-is-also-listed-in-earth-science.palaeogeography,Palaeogeography,Study of past geographies and ancient landscapes.,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Palaeogeography
social-science.geography.physical-geography-is-also-listed-in-earth-science.palaeontology,Palaeontology,Study of ancient life through fossils.,Physical geography (is also listed in Earth Science)|0;Biology|1,3,S,https://en.wikipedia.org/wiki/Palaeontology
social-science.geography.physical-geography-is-also-listed-in-earth-science.petrology,Petrology,Study of rocks and their origin.,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Petrology
social-science.geography.physical-geography-is-also-listed-in-earth-science.soil-geography,Soil geography,Study of soil distribution properties and formation.,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Pedology
social-science.geography.human-geography,Human geography,Study of human activities and their spatial patterns.,Geography|0;Sociology|1,2,S,https://en.wikipedia.org/wiki/Human_geography
social-science.geography.human-geography.behavioural-geography,Behavioural geography,Study of spatial behavior and decision making.,Human geography|0;Psychology|1,3,S,https://en.wikipedia.org/wiki/Behavioural_geography
social-science.geography.human-geography.cognitive-geography,Cognitive geography,Study of how people perceive and mentally represent space.,Human geography|0;Psychology|1,3,S,https://en.wikipedia.org/wiki/Cognitive_geography
social-science.geography.human-geography.cultural-geography,Cultural geography,Study of cultural practices and their spatial expressions.,Human geography|0;Cultural studies|1,3,S,https://en.wikipedia.org/wiki/Cultural_geography
social-science.geography.human-geography.cultural-geography.feminist-geography,Feminist geography,Study of geography through feminist perspectives.,Cultural geography|0,4,S,https://en.wikipedia.org/wiki/Feminist_geography
social-science.geography.human-geography.development-geography,Development geography,Study of spatial aspects of development and inequality.,Human geography|0;Economics|1,3,S,https://en.wikipedia.org/wiki/Development_geography
social-science.geography.human-geography.health-geography,Health geography,Study of health outcomes and services across places.,Human geography|0;Psychology|1,3,S,https://en.wikipedia.org/wiki/Health_geography
social-science.geography.human-geography.historical-geography,Historical geography,Study of past geographies and spatial change over time.,Human geography|0;History|1,3,S,https://en.wikipedia.org/wiki/Historical_geography
social-science.geography.human-geography.language-geography,Language geography,Study of language distribution and spatial variation.,Human geography|0;Linguistics|1,3,S,https://en.wikipedia.org/wiki/Language_geography
social-science.geography.human-geography.mathematical-geography,Mathematical geography,Study of geographic phenomena using mathematical models.,Human geography|0;Mathematics|1,3,S,https://en.wikipedia.org/wiki/Mathematical_geography
social-science.geography.human-geography.marketing-geography,Marketing geography,Study of spatial patterns in markets and consumer behavior.,Human geography|0;Economics|1,3,S,https://en.wikipedia.org/wiki/Marketing_geography
social-science.geography.human-geography.military-geography,Military geography,Study of geographic factors in military strategy.,Human geography|0;History|1,3,S,https://en.wikipedia.org/wiki/Military_geography
social-science.geography.human-geography.political-geography-geopolitics,Political geography & Geopolitics,Study of political power and territory in geographic context.,Human geography|0;Political science|1,3,S,https://en.wikipedia.org/wiki/Political_geography
social-science.geography.human-geography.population-geography,Population geography,Study of population distribution and migration patterns.,Human geography|0,3,S,https://en.wikipedia.org/wiki/Population_geography
social-science.geography.human-geography.religion-geography,Religion geography,Study of religious practices and their spatial distribution.,Human geography|0;Religious studies|1,3,S,https://en.wikipedia.org/wiki/Religion_geography
social-science.geography.human-geography.social-geography,Social geography,Study of social relations and communities in space.,Human geography|0,3,S,https://en.wikipedia.org/wiki/Social_geography
social-science.geography.human-geography.children-s-geographies,Children's geographies,Study of children's spatial experiences and environments.,Human geography|0;Psychology|1,3,S,https://en.wikipedia.org/wiki/Children%27s_geographies
social-science.geography.human-geography.strategic-geography,Strategic geography,Study of spatial factors in strategic planning and security.,Human geography|0;Political science|1,3,S,https://en.wikipedia.org/wiki/Strategic_geography
social-science.geography.human-geography.time-geography,Time geography,Study of spatial behavior through time and scheduling.,Human geography|0;Mathematics|1,3,S,https://en.wikipedia.org/wiki/Time_geography
social-science.geography.human-geography.tourism-geography,Tourism geography,Study of tourism flows and their spatial impacts.,Human geography|0;Economics|1,3,S,https://en.wikipedia.org/wiki/Tourism_geography
social-science.geography.human-geography.transport-geography,Transport geography,Study of transportation systems and spatial connectivity.,Human geography|0;Economics|1,3,S,https://en.wikipedia.org/wiki/Transport_geography
social-science.geography.human-geography.urban-geography,Urban geography,Study of cities and urban spatial structures.,Human geography|0,3,S,https://en.wikipedia.org/wiki/Urban_geography
social-science.geography.integrated-geography,Integrated geography,Study of geography integrating physical and human systems.,Geography|0,2,S,https://en.wikipedia.org/wiki/Integrated_geography
social-science.geography.cartography,Cartography,Study of mapmaking and spatial representation.,Geography|0;Mathematics|1,2,S,https://en.wikipedia.org/wiki/Cartography
social-science.geography.cartography.celestial-cartography,Celestial cartography,Study of mapping stars and celestial objects.,Cartography|0;Astronomy|1,3,S,https://en.wikipedia.org/wiki/Celestial_cartography
social-science.geography.cartography.planetary-cartography,Planetary cartography,Study of mapping planetary surfaces.,Cartography|0;Astronomy|1,3,S,https://en.wikipedia.org/wiki/Planetary_cartography
social-science.geography.cartography.topography,Topography,Study of mapping landforms and terrain.,Cartography|0,3,S,https://en.wikipedia.org/wiki/Topography
social-science.geography.navigation,Navigation,Study of methods for determining position and route.,Geography|0;Mathematics|1,2,S,https://en.wikipedia.org/wiki/Navigation
social-science.geography.regional-geography,Regional geography,Study of regions and their unique geographic characteristics.,Geography|0,2,S,https://en.wikipedia.org/wiki/Regional_geography
social-science.political-science,Political science,Study of political systems institutions and behavior.,History|0;Communication|0;Law|0;Psychology|0;Economics|0,3,S0,https://en.wikipedia.org/wiki/Politics
social-science.political-science.american-politics,American politics,Study of politics and government in the United States.,Political science|0,4,S,https://en.wikipedia.org/wiki/Politics_of_the_United_States
social-science.political-science.canadian-politics,Canadian politics,Study of politics and government in Canada.,Political science|0,4,S,https://en.wikipedia.org/wiki/Politics_of_Canada
social-science.political-science.civics,Civics,Study of civic rights duties and participation in governance.,Political science|0,4,S,https://en.wikipedia.org/wiki/Civics
social-science.political-science.health-politics,Health politics,Study of political aspects of health policy and governance.,Political science|0,4,S,https://en.wikipedia.org/wiki/Health_politics
social-science.political-science.biopolitics,Biopolitics,Study of politics of life health and population.,Political science|0;Biology|1,4,S,https://en.wikipedia.org/wiki/Biopolitics
social-science.political-science.comparative-politics,Comparative politics,Study of political systems through cross national comparison.,Political science|0,4,S,https://en.wikipedia.org/wiki/Comparative_politics
social-science.political-science.geopolitics-political-geography,Geopolitics (Political geography),Study of power politics in relation to geography.,Political science|0;Geography|1,4,S,https://en.wikipedia.org/wiki/Geopolitics
social-science.political-science.indian-politics,Indian politics,Study of politics and government in India.,Political science|0,4,S,https://en.wikipedia.org/wiki/Indian_politics
social-science.political-science.international-relations,International relations,Study of relations between states and global actors.,Political science|0,4,S,https://en.wikipedia.org/wiki/International_relations
social-science.political-science.international-organizations,International organizations,Study of international organizations and global governance.,Political science|0,4,S,https://en.wikipedia.org/wiki/International_organization
social-science.political-science.nationalism-studies,Nationalism studies,Study of nationalism ideologies and movements.,Political science|0,4,S,https://en.wikipedia.org/wiki/Nationalism_studies
social-science.political-science.peace-and-conflict-studies,Peace and conflict studies,Study of conflict causes peacebuilding and security.,Political science|0,4,S,https://en.wikipedia.org/wiki/Peace_and_conflict_studies
social-science.political-science.political-behavior,Political behavior,Study of political attitudes voting and participation.,Political science|0,4,S,https://en.wikipedia.org/wiki/Theories_of_political_behavior
social-science.political-science.political-culture,Political culture,Study of shared political values and norms.,Political science|0,4,S,https://en.wikipedia.org/wiki/Political_culture
social-science.political-science.political-philosophy,Political philosophy,Study of philosophical foundations of politics.,Political science|0;Philosophy|1,4,S,https://en.wikipedia.org/wiki/Political_philosophy
social-science.political-science.public-administration,Public administration,Study of managing public sector organizations.,Political science|0,4,S,https://en.wikipedia.org/wiki/Public_administration
social-science.political-science.public-administration.nonprofit-administration,Nonprofit administration,Study of management of nonprofit organizations.,key:social-science.political-science.public-administration|0,5,S,https://en.wikipedia.org/wiki/Nonprofit_organization
social-science.political-science.public-administration.non-governmental-organization-ngo-administration,Non-governmental organization (NGO) administration,Study of administration of nongovernmental organizations.,key:social-science.political-science.public-administration|0,5,S,https://en.wikipedia.org/wiki/Non-governmental_organization
social-science.political-science.public-administration.civil-service,Civil service,Study of public service systems and bureaucracy.,key:social-science.political-science.public-administration|0,5,S,https://en.wikipedia.org/wiki/Civil_service
social-science.political-science.public-administration.disaster-research,Disaster research,Study of disasters and policy responses.,key:social-science.political-science.public-administration|0;Earth science|1,5,S,https://en.wikipedia.org/wiki/Disaster_research
social-science.political-science.public-administration.disaster-response,Disaster response,Study of organizational response to disasters.,key:social-science.political-science.public-administration|0;Earth science|1,5,S,https://en.wikipedia.org/wiki/Disaster_response
social-science.political-science.public-administration.emergency-management,Emergency management,Study of preparedness and management of emergencies.,key:social-science.political-science.public-administration|0;Earth science|1,5,S,https://en.wikipedia.org/wiki/Emergency_management
social-science.political-science.public-administration.emergency-services,Emergency services,Study of public safety and emergency service organizations.,key:social-science.political-science.public-administration|0,5,S,https://en.wikipedia.org/wiki/Emergency_services
social-science.political-science.public-administration.fire-safety-structural-fire-protection,Fire safety (Structural fire protection),Study of fire safety policy and structural fire protection.,key:social-science.political-science.public-administration|0;Physics|1,5,S,https://en.wikipedia.org/wiki/Fire_safety
social-science.political-science.public-administration.fire-ecology-wildland-fire-management,Fire ecology (Wildland fire management),Study of wildfire management and fire ecology policy.,key:social-science.political-science.public-administration|0;Earth science|1,5,S,https://en.wikipedia.org/wiki/Fire_ecology
social-science.political-science.public-administration.governmental-affairs,Governmental affairs,Study of government relations and public affairs.,key:social-science.political-science.public-administration|0,5,S,https://en.wikipedia.org/wiki/Government
social-science.political-science.public-administration.international-affairs,International affairs,Study of public administration in international contexts.,key:social-science.political-science.public-administration|0,5,S,https://en.wikipedia.org/wiki/International_relations
social-science.political-science.public-administration.policy-studies,Policy studies,Study of policy work within public administration.,key:social-science.political-science.public-administration|0,5,S,https://en.wikipedia.org/wiki/Policy_studies
social-science.political-science.public-administration.policy-studies.policy-analysis,Policy analysis,Study of evaluating policy options and outcomes.,key:social-science.political-science.public-administration.policy-studies|0,6,S,https://en.wikipedia.org/wiki/Policy_analysis
social-science.political-science.public-administration.public-policy-doctrine,Public policy doctrine,Study of principles guiding public policy practice.,key:social-science.political-science.public-administration|0,5,S,https://en.wikipedia.org/wiki/Public_policy_doctrine
social-science.political-science.public-administration.public-policy-school,Public policy school,Study of public policy education and professional training.,key:social-science.political-science.public-administration|0,5,S,https://en.wikipedia.org/wiki/Public_policy_school
social-science.political-science.public-administration.regulation,Regulation,Study of regulatory frameworks and compliance.,key:social-science.political-science.public-administration|0,5,S,https://en.wikipedia.org/wiki/Regulation
social-science.political-science.public-administration.public-safety,Public safety,Study of policies and systems that protect public safety.,key:social-science.political-science.public-administration|0,5,S,https://en.wikipedia.org/wiki/Public_safety
social-science.political-science.public-administration.public-service,Public service,Study of public service roles and governance ethics.,key:social-science.political-science.public-administration|0,5,S,https://en.wikipedia.org/wiki/Public_service
social-science.political-science.public-law,Public law,Study of laws governing state and public institutions.,Political science|0,4,S,https://en.wikipedia.org/wiki/Public_law
social-science.political-science.public-policy,Public policy,Study of policy making and governmental decisions.,Political science|0,4,S,https://en.wikipedia.org/wiki/Public_policy
social-science.political-science.psephology,Psephology,Study of elections and voting behavior.,Political science|0,4,S,https://en.wikipedia.org/wiki/Psephology
social-science.political-science.singapore-politics,Singapore politics,Study of politics and government in Singapore.,Political science|0,4,S,https://en.wikipedia.org/wiki/Singapore_politics
social-science.political-science.military-sciences,Military sciences,Study of military organization strategy and operations.,Political science|0,4,S,https://en.wikipedia.org/wiki/Military_science
social-science.political-science.military-sciences.amphibious-warfare,Amphibious warfare,Study of military operations combining land and sea forces.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Amphibious_warfare
social-science.political-science.military-sciences.artillery,Artillery,Study of artillery weapons systems and tactics.,Military sciences|0;Physics|1,5,S,https://en.wikipedia.org/wiki/Artillery
social-science.political-science.military-sciences.battlespace,Battlespace,Study of operational environments in warfare.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Battlespace
social-science.political-science.military-sciences.battlespace.air,Air,Study of air domain operations and strategy.,Battlespace|0,6,S,https://en.wikipedia.org/wiki/Aerial_warfare
social-science.political-science.military-sciences.battlespace.information,Information,Study of information domain operations and warfare.,Battlespace|0;Information science|1,6,S,https://en.wikipedia.org/wiki/Information_warfare
social-science.political-science.military-sciences.battlespace.land,Land,Study of land domain operations and strategy.,Battlespace|0,6,S,https://en.wikipedia.org/wiki/Ground_warfare
social-science.political-science.military-sciences.battlespace.sea,Sea,Study of naval domain operations and strategy.,Battlespace|0,6,S,https://en.wikipedia.org/wiki/Naval_warfare
social-science.political-science.military-sciences.battlespace.space,Space,Study of space domain operations and strategy.,Battlespace|0;Astronomy|1,6,S,https://en.wikipedia.org/wiki/Space_warfare
social-science.political-science.military-sciences.campaigning,Campaigning,Study of planning and executing military campaigns.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Military_campaign
social-science.political-science.military-sciences.military-engineering,Military engineering,Study of engineering applications in military contexts.,Military sciences|0;Technology|1,5,S,https://en.wikipedia.org/wiki/Military_engineering
social-science.political-science.military-sciences.doctrine,Doctrine,Study of military doctrines and principles of warfare.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Doctrine
social-science.political-science.military-sciences.espionage,Espionage,Study of intelligence gathering and covert operations.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Espionage
social-science.political-science.military-sciences.grand-strategy,Grand strategy,Study of high level national and military strategy.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Grand_strategy
social-science.political-science.military-sciences.grand-strategy.containment,Containment,Study of containment as a strategic doctrine.,Grand strategy|0,6,S,https://en.wikipedia.org/wiki/Containment
social-science.political-science.military-sciences.grand-strategy.limited-war,Limited war,Study of limited war strategies and constraints.,Grand strategy|0,6,S,https://en.wikipedia.org/wiki/Limited_war
social-science.political-science.military-sciences.grand-strategy.military-science,Military science,Study of systematic principles underlying military practice.,Grand strategy|0,6,S,https://en.wikipedia.org/wiki/Military_science
social-science.political-science.military-sciences.grand-strategy.philosophy-of-war,Philosophy of war,Study of philosophical questions about war and conflict.,Grand strategy|0;Philosophy|1,6,S,https://en.wikipedia.org/wiki/Philosophy_of_war
social-science.political-science.military-sciences.grand-strategy.strategic-studies,Strategic studies,Study of strategic planning and security policy.,Grand strategy|0,6,S,https://en.wikipedia.org/wiki/Strategic_studies
social-science.political-science.military-sciences.grand-strategy.chess,Chess,Study of chess as a strategic model and training tool.,Grand strategy|0;Mathematics|1,6,S,https://en.wikipedia.org/wiki/Chess
social-science.political-science.military-sciences.grand-strategy.total-war,Total war,Study of total war as a strategic doctrine.,Grand strategy|0,6,S,https://en.wikipedia.org/wiki/Total_war
social-science.political-science.military-sciences.grand-strategy.war,War,Study of war as a political and social phenomenon.,Grand strategy|0,6,S,https://en.wikipedia.org/wiki/War
social-science.political-science.military-sciences.leadership,Leadership,Study of leadership in military contexts.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Leadership
social-science.political-science.military-sciences.logistics,Logistics (Military),Study of planning movement and sustainment of forces.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Military_logistics
social-science.political-science.military-sciences.logistics.materiel,Materiel,Study of military equipment and material management.,key:social-science.political-science.military-sciences.logistics|0,6,S,https://en.wikipedia.org/wiki/Materiel
social-science.political-science.military-sciences.logistics.supply-chain-management,Supply chain management,Study of supply chains supporting military operations.,key:social-science.political-science.military-sciences.logistics|0,6,S,https://en.wikipedia.org/wiki/Military_supply_chain_management
social-science.political-science.military-sciences.military-operation,Military operation,Study of planning and executing military operations.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Military_operation
social-science.political-science.military-sciences.military-history,Military history,Study of military events and warfare over time.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Military_history
social-science.political-science.military-sciences.military-history.prehistoric,Prehistoric,Study of warfare and conflict in prehistoric periods.,Military history|0,6,S,https://en.wikipedia.org/wiki/Prehistoric_warfare
social-science.political-science.military-sciences.military-history.ancient,Ancient,Study of warfare and conflict in ancient periods.,Military history|0,6,S,https://en.wikipedia.org/wiki/Ancient_warfare
social-science.political-science.military-sciences.military-history.medieval,Medieval,Study of warfare and conflict in medieval periods.,Military history|0,6,S,https://en.wikipedia.org/wiki/Medieval_warfare
social-science.political-science.military-sciences.military-history.early-modern,Early modern,Study of warfare and conflict in early modern periods.,Military history|0,6,S,https://en.wikipedia.org/wiki/Early_modern_warfare
social-science.political-science.military-sciences.military-history.industrial,Industrial,Study of warfare and conflict in the industrial era.,Military history|0,6,S,https://en.wikipedia.org/wiki/Industrial_warfare
social-science.political-science.military-sciences.military-history.modern,Modern,Study of warfare and conflict in the modern era.,Military history|0,6,S,https://en.wikipedia.org/wiki/Modern_warfare
social-science.political-science.military-sciences.military-history.fourth-generation-warfare,Fourth-generation warfare,Study of decentralized and asymmetric warfare in modern conflicts.,Military history|0,6,S,https://en.wikipedia.org/wiki/Fourth-generation_warfare
social-science.political-science.military-sciences.military-intelligence,Military intelligence,Study of intelligence gathering and analysis for military use.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Military_intelligence
social-science.political-science.military-sciences.military-law,Military law,Study of laws governing armed forces and conflict.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Military_law
social-science.political-science.military-sciences.military-medicine,Military medicine,Study of medical care and health in military contexts.,Military sciences|0;Biology|1,5,S,https://en.wikipedia.org/wiki/Military_medicine
social-science.political-science.military-sciences.naval-science,Naval science,Study of naval operations and maritime military strategy.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Naval_science
social-science.political-science.military-sciences.naval-science.naval-engineering,Naval engineering,Study of engineering for naval vessels and systems.,Naval science|0;Technology|1,6,S,https://en.wikipedia.org/wiki/Naval_engineering
social-science.political-science.military-sciences.naval-science.naval-architecture,Naval architecture,Study of design and construction of ships.,Naval science|0;Technology|1,6,S,https://en.wikipedia.org/wiki/Naval_architecture
social-science.political-science.military-sciences.organization,Organization,Study of military organizational structures.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Military_organization
social-science.political-science.military-sciences.organization.command-and-control,Command and control,Study of command systems and decision structures.,Organization|0,6,S,https://en.wikipedia.org/wiki/Command_and_control
social-science.political-science.military-sciences.organization.education-and-training,Education and training,Study of military education and training systems.,Organization|0,6,S,https://en.wikipedia.org/wiki/Military_education_and_training
social-science.political-science.military-sciences.organization.engineers,Engineers,Study of roles and management of military engineers.,Organization|0;Technology|1,6,S,https://en.wikipedia.org/wiki/Military_engineering
social-science.political-science.military-sciences.organization.intelligence,Intelligence,Study of organizational intelligence functions.,Organization|0,6,S,https://en.wikipedia.org/wiki/Military_intelligence
social-science.political-science.military-sciences.organization.ranks,Ranks,Study of military rank structures and hierarchy.,Organization|0,6,S,https://en.wikipedia.org/wiki/Military_rank
social-science.political-science.military-sciences.organization.staff,Staff,Study of roles and functions of military staff.,Organization|0,6,S,https://en.wikipedia.org/wiki/Staff_(military)
social-science.political-science.military-sciences.organization.technology-and-equipment,Technology and equipment,Study of military technology equipment and procurement.,Organization|0;Technology|1,6,S,https://en.wikipedia.org/wiki/Military_technology
social-science.political-science.military-sciences.organization.military-exercises,Military exercises,Study of training exercises and readiness drills.,Organization|0,6,S,https://en.wikipedia.org/wiki/Military_exercises
social-science.political-science.military-sciences.organization.military-simulation,Military simulation,Study of simulations used for military training and planning.,Organization|0;Technology|1,6,S,https://en.wikipedia.org/wiki/Military_simulation
social-science.political-science.military-sciences.organization.military-sports,Military sports,Study of sports and physical training in military contexts.,Organization|0,6,S,https://en.wikipedia.org/wiki/Military_sports
social-science.political-science.military-sciences.strategy,Strategy,Study of strategic planning in military operations.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Strategy
social-science.political-science.military-sciences.strategy.attrition,Attrition,Study of attrition strategies aimed at wearing down an opponent.,key:social-science.political-science.military-sciences.strategy|0,6,S,https://en.wikipedia.org/wiki/Attrition_warfare
social-science.political-science.military-sciences.strategy.deception,Deception,Study of deception tactics and strategic misinformation.,key:social-science.political-science.military-sciences.strategy|0,6,S,https://en.wikipedia.org/wiki/Military_deception
social-science.political-science.military-sciences.strategy.defensive,Defensive,Study of defensive strategies and force protection.,key:social-science.political-science.military-sciences.strategy|0,6,S,https://en.wikipedia.org/wiki/Strategic_defence
social-science.political-science.military-sciences.strategy.offensive,Offensive,Study of offensive strategies and attack operations.,key:social-science.political-science.military-sciences.strategy|0,6,S,https://en.wikipedia.org/wiki/Offensive_(military)
social-science.political-science.military-sciences.strategy.counter-offensive,Counter-offensive,Study of counter-offensive strategy and response operations.,key:social-science.political-science.military-sciences.strategy|0,6,S,https://en.wikipedia.org/wiki/Counter-offensive
social-science.political-science.military-sciences.strategy.maneuver,Maneuver,Study of maneuver strategies and movement in warfare.,key:social-science.political-science.military-sciences.strategy|0,6,S,https://en.wikipedia.org/wiki/Maneuver_warfare
social-science.political-science.military-sciences.strategy.goal,Goal,Study of strategic goal setting and objectives in conflict.,key:social-science.political-science.military-sciences.strategy|0,6,S,https://en.wikipedia.org/wiki/Strategic_goal_(military)
social-science.political-science.military-sciences.strategy.naval,Naval,Study of naval strategy and sea power doctrine.,key:social-science.political-science.military-sciences.strategy|0,6,S,https://en.wikipedia.org/wiki/Naval_strategy
social-science.political-science.military-sciences.tactics,Tactics,Study of tactical actions and battlefield decision making.,Military sciences|0,5,S,https://en.wikipedia.org/wiki/Military_tactics
social-science.political-science.military-sciences.tactics.aerial,Aerial,Study of aerial tactics and air combat operations.,Tactics|0,6,S,https://en.wikipedia.org/wiki/Air_combat_manoeuvring
social-science.political-science.military-sciences.tactics.battle,Battle,Study of battle tactics and engagement planning.,Tactics|0,6,S,https://en.wikipedia.org/wiki/Battle
social-science.political-science.military-sciences.tactics.cavalry,Cavalry (tactics),Study of cavalry tactics and mounted warfare.,Tactics|0,6,S,https://en.wikipedia.org/wiki/Cavalry_tactics
social-science.political-science.military-sciences.tactics.charge,Charge,Study of charge tactics and direct assault maneuvers.,Tactics|0,6,S,https://en.wikipedia.org/wiki/Charge_(warfare)
social-science.political-science.military-sciences.tactics.counter-attack,Counter-attack,Study of counter-attack tactics in response to assaults.,Tactics|0,6,S,https://en.wikipedia.org/wiki/Counter-attack
social-science.political-science.military-sciences.tactics.counter-insurgency,Counter-insurgency,Study of tactics for countering insurgencies.,Tactics|0,6,S,https://en.wikipedia.org/wiki/Counter-insurgency
social-science.political-science.military-sciences.tactics.counter-intelligence,Counter-intelligence,Study of tactics to counter espionage and intelligence threats.,Tactics|0,6,S,https://en.wikipedia.org/wiki/Counter-intelligence
social-science.political-science.military-sciences.tactics.counter-terrorism,Counter-terrorism,Study of tactics for preventing and responding to terrorism.,Tactics|0,6,S,https://en.wikipedia.org/wiki/Counter-terrorism
social-science.political-science.military-sciences.tactics.foxhole,Foxhole,Study of trench and foxhole defensive tactics.,Tactics|0,6,S,https://en.wikipedia.org/wiki/Defensive_fighting_position
social-science.political-science.military-sciences.tactics.endemic-warfare,Endemic warfare,Study of persistent localized warfare and conflict patterns.,Tactics|0,6,S,https://en.wikipedia.org/wiki/Endemic_warfare
social-science.political-science.military-sciences.tactics.guerrilla-warfare,Guerrilla warfare,Study of guerrilla tactics and irregular combat methods.,Tactics|0,6,S,https://en.wikipedia.org/wiki/Guerrilla_warfare
social-science.political-science.military-sciences.tactics.infiltration,Infiltration,Study of infiltration tactics for covert entry and movement.,Tactics|0,6,S,https://en.wikipedia.org/wiki/Infiltration_tactics
social-science.political-science.military-sciences.tactics.irregular-warfare,Irregular warfare,Study of irregular warfare tactics and nonstandard conflict.,Tactics|0,6,S,https://en.wikipedia.org/wiki/Irregular_warfare
